"5000 Empire Mall","4001 W 41st St",,"Sioux Falls","SD",57106,"605-361-5091",43.514831,-96.774520
"5th Third Bank","222 S Riverside",,"Chicago","IL",60606,"312-207-0853",41.879029,-87.638532
"8000 Tower","8000 Normandale Center Dr",,"Bloomington","MN",55437,"952-486-9500",44.854023,-93.352196
"Apache Mall","308 Apache Mall",,"Rochester","MN",55902,"507-288-5117",44.006221,-92.479611
"Bayshore Mall","5600 N Bayshore Dr",,"Glendale","WI",53217,"414-962-6198",43.122318,-87.913734
"Best Buy Headquarters ","7601 Penn Ave S",,"Richfield","MN",55423,"612-292-5282",44.864019,-93.308542
"Bethesda Pl","7629 Old Georgetown Rd",,"Bethesda","MD",20814,"301-654-6616",38.986047,-77.096340
"Big Lake Town Square","726 Martin Ave",,"Big Lake","MN",55309,"763-262-1660",45.334444,-93.735493
"Burnsville Center","14204 Burnhaven Dr",,"Burnsville","MN",55306,"952-435-6005",44.746205,-93.293847
"Byerly's","13081 Ridgedale Dr.",,"Minnetonka","MN",55305,"952-545-6945",44.969291,-93.444953
"Byerly's","1601 W County Rd C",,"Roseville","MN",55113,"651-633-6960",45.021015,-93.168856
"Byerly's","1959 Suburban Ave",,"St. Paul","MN",55119,"651-714-0720",44.949643,-93.017901
"Byerly's","3777 Park Center Blvd.",,"St. Louis Park","MN",55416,"952-925-0660",44.935700,-93.348044
"Byerly's","12880 Elm Creek Blvd",,"Maple Grove","MN",55369,"763-494-3450",45.095313,-93.443966
"Byerly's","1299 Promenade Pl",,"Eagan","MN",55121,"651-687-0137",44.834916,-93.159211
"Byerly's","2510 W Division St",,"St. Cloud","MN",56301,"320-253-3065",45.553127,-94.188025
"Byerly's","7171 France Ave. S.",,"Edina","MN",55435,"952-831-0288",44.873249,-93.328810
"Byerly's","800 W 78th St",,"Chanhassen","MN",55317,"952-401-4466",44.862344,-93.540275
"Byerly's","401 County Rd 42",,"Burnsville","MN",55337,"952-435-6223",44.731774,-93.237603
