1,700 Old Country Rd,,Westbury,NY,11590,516-333-8844,,40.750945,-73.571552
2,11010 Flatlands Ave,,Brooklyn,NY,11207,718-257-3300,,40.650001,-73.891197
3,80 Boston St,,Lynn,MA,01904,781-477-0877,781-592-1830,42.475975,-70.957588
4,2060 Western Ave,Star Plaza,Guilderland,NY,12084,518-869-2097,617-621-0310,42.697844,-73.889069
6,5001 Rising Sun Ave,,Philadelphia,PA,19120,215-457-8300,215-288-3409,40.026665,-75.121437
7,35 Squire Rd,,Revere,MA,02151,781-284-9777,,42.421802,-71.005746
8,1295 S Main St,,Greensburg,PA,15601,724-834-4232,,40.282237,-79.550158
9,607 E Market St,,West Chester,PA,19382,610-436-8666,610-527-5761,39.963511,-75.595917
10,648 County St,,Taunton,MA,02780,508-824-9124,,41.884883,-71.066953
11,951 Worcester St,,Wellesley,MA,02482,781-235-9815,,42.304692,-71.32252
12,259 Brockton Ave,,Abington,MA,02351,781-878-6902,,42.104003,-70.954948
13,2053 E Joppa Rd,,Parkville,MD,21234,410-882-4440,410-668-5160,39.398489,-76.542169
14,223 New Britain Ave,,Berlin,CT,06037,860-229-0606,,41.642574,-72.770198
15,Merchandise Mart Plz,Ste 470,Chicago,IL,60654,312-222-1196,,41.88795,-87.6351
16,61 N. Village Ave,,Rockville Centre,NY,11570,516-594-8274,516-255-5582,40.65855,-73.647887
17,303 Peachtree St,,Atlanta,GA,30303,404-223-6717,,33.7474,-84.396
18,205 N. Dual Hwy,,Laurel,DE,19956,302-875-9467,410-820-8219,38.55595,-75.5563
19,1392 Lexington Avenue,,New York,NY,10128,212-722-5767,917-779-9310,40.782983,-73.953038
20,30 Landing Rd,Wal*Mart,Windham,ME,04062,207-892-3525,,43.838691,-70.443882
21,1930 Lisbon St,Rte 196,Lewiston,ME,04240,207-786-2800,,44.061406,-70.147934
22,318 19th St,,Watervliet,NY,12189,518-274-1930,,42.730463,-73.702872
23,2800 S. Le Jeune Rd,Miami International Airport,Miami,FL,33134,786-265-8400,,25.745914,-80.262584
24,936 Us Route 1,,Yarmouth,ME,04096,207-846-5782,,43.805242,-70.173961
25,590 West Street Rd,,Warminster,PA,18974,215-441-4562,609-620-0062,40.205407,-75.09754
26,993 Beards Hill Rd,,Aberdeen,MD,21001,410-272-1491,410-272-1492,39.523749,-76.183992
27,1601 West High St.,,Stowe,PA,19464,610-970-3052,610-232-7079,40.246278,-75.688173
28,1100 Berlin Tpke,,Berlin,CT,06037,860-828-6002,860-828-6002,41.619417,-72.742272
29,613 Washington St,,Middletown,CT,06457,860-344-8666,,41.555158,-72.672095
30,843 Route 33,"Cousins Plaza,Unit #10",Freehold,NJ,07728,732-866-8412,732-695-2257,40.247902,-74.2438
31,3201 North Lewis Avenue,,Waukegan,IL,60087,312-226-8800,312-226-8807,42.410142,-87.85499
32,140 Medway Road,,Milford,MA,01757,508-478-1418,,42.147761,-71.486757
33,702 Iyannough Road,,Hyannis,MA,02601,508-775-0328,,41.668186,-70.294154
34,262 Forbes Rd,Braintree Logan Express-Kiosk,Braintree,MA,02184,781-849-2041,781-843-4038,42.220462,-71.034513
35,36 Maple St,,Danvers,MA,01923,978-774-2840,,42.566338,-70.936314
36,3112 Highway 9w,,Saugerties,NY,12477,845-247-9630,,42.054839,-73.956255
37,1500 Spring Garden St.,,Philadelphia,PA,19130,215-557-7927,215-736-0278,39.962713,-75.16308
38,100 North Broadway,,Hicksville,NY,11801,516-932-3594,516-932-5057,40.771802,-73.527194
39,2530 Aramingo Ave,,Philadelphia,PA,19125,215-634-7750,215-634-8884,39.977139,-75.119419
40,231 N. Graham St,Suite B,Charlotte,NC,28202,704-377-9888,704-377-9898,35.232242,-80.844716
41,Laguardia Airport-Kiosk,Central Terminal Bldg Br4a,Flushing,NY,11371,,718-457-5376,40.7713,-73.872
42,361 First Avenue,,New York,NY,10010,212-228-8895,212-228-8870,40.73561,-73.979479
43,1 Fish Pier Space 33,Logan Airport Terminal A,Boston,MA,02210,617-569-5265,,42.347653,-71.036084
44,726 Old Bethpage Rd,,Old Bethpage,NY,11804,516-752-7520,516-752-7521,40.764646,-73.454901
45,1926 Columbus Ave,,Roxbury,MA,02119,617-427-6934,,42.316736,-71.098228
46,360 W. 31st St,21 Penn Plaza,New York,NY,10001,212-904-1160,,40.751024,-73.996586
48,2740 State Road 55,Suite 100,Cary,NC,27519,919-303-4334,919-468-9905,35.8032,-78.8739
49,409 N. Fruitland Blvd,Wal*Mart #2931,Fruitland,MD,21826,410-219-3280,410-524-3479,38.327313,-75.615246
50,2 Lake Avenue Ext,,Danbury,CT,06811,203-743-2349,203-743-3008,41.387179,-73.478158
51,372 Cottage St,,Pawtucket,RI,02861,401-723-5878,,41.886518,-71.367226
52,369 Mass Ave,,Arlington,MA,02474,781-648-1681,,42.412296,-71.148805
53,286 Lincoln St,,Lexington,MA,02421,781-862-1553,,42.439863,-71.250502
54,1100 Light St,,Baltimore,MD,21230,410-545-0522,410-545-0566,39.27681,-76.612296
55,74 Lowell Rd,,Hudson,NH,03051,603-880-8333,603-340-4405,42.754444,-71.429679
56,2 Springside Ave,(201 Osborn Ave),Danbury,CT,06810,203-797-0780,,41.407033,-73.436645
57,2720 Salt Springs Road,,Girard,OH,44420,330-530-8049,330-337-7859,41.143094,-80.721907
58,2395 W. Commercial Blvd,,Fort Lauderdale,FL,33309,954-486-0816,212-937-2083,26.18817,-80.175211
59,709 N Black Horse Pk,,Haddon Heights,NJ,08035,856-310-1220,856-310-1224,39.873993,-75.082835
60,1645 W. Main St,,Lebanon,TN,37087,,,36.220544,-86.342275
62,112 North 6th St,,Allentown,PA,18101,610-434-9300,610-434-9300,40.604342,-75.470474
63,1169 Braley Rd,,New Bedford,MA,02745,508-995-4936,508-985-9018,41.72688,-70.947036
64,6715 Backlick Rd,Suite H,Springfield,VA,22150,703-451-3091,703-435-9234,38.772644,-77.183869
65,11556 Busy St,Courthouse Place,Richmond,VA,23236,804-594-0770,804-706-6439,37.5023,-77.6119
66,927 Main St,,West Dennis,MA,02670,508-394-0496,508-394-0497,41.667539,-70.148299
67,425 Central Park Ave,,White Plains,NY,10606,914-681-8790,914-681-8791,41.031445,-73.787505
68,2 Dover Rd,,Durham,NH,03824,603-868-5627,,43.13317,-70.920501
69,4872 Montgomery Rd,Suite 107,Ellicott City,MD,21043,410-480-8430,410-480-8431,39.237622,-76.799278
70,99 New Canaan Ave,,Norwalk,CT,06850,203-840-1902,203-840-1902,41.127386,-73.432962
71,2501 Corning Rd,,Elmira Heights,NY,14903,607-739-2219,607-739-2219,42.150944,-76.834196
72,600 S. County Farm Rd,,Wheaton,IL,60187,630-462-3722,630-501-1516,41.858867,-88.142626
73,638 Ocean Ave,,Long Branch,NJ,07740,732-571-1015,732-493-4902,40.283207,-73.984411
74,15740 Woods Edge Road,,Colonial Heights,VA,23113,804-520-1250,804-706-6439,37.308644,-77.399985
75,8925 Fingerboard Rd,,Frederick,MD,21704,240-699-0086,240-699-0087,39.324097,-77.351583
76,20 Broadway,,Massapequa,NY,11758,516-799-1466,,40.67773,-73.470739
77,15943 Sate Route 22,,Stephentown,NY,12168,518-733-0312,518-733-0312,42.547279,-73.368066
78,27 E. Lake St,,Chicago,IL,60601,312-419-8588,312-419-8589,41.88576,-87.627044
79,1091 Washington Blvd,Thriftway,Robbinsville,NJ,08691,609-448-9540,609-448-9541,40.224772,-74.635743
80,113 Salem Tpke,(Dandy Donuts),Norwich,CT,06360,860-887-5270,,41.511,-72.113882
82,56 Enfield St,,Enfield,CT,06082,860-749-6255,,42.023322,-72.585205
83,2120 Lincoln Hwy E,,Lancaster,PA,17602,717-291-5712,717-291-5710,40.030221,-76.232072
84,307 Connecticut Ave,,Norwalk,CT,06854,203-899-9988,,41.102151,-73.436849
85,330 Brookline Ave,,Boston,MA,02215,401-623-9495,,42.340616,-71.105439
87,3168 Memorial Hwy,,Dallas,PA,18612,570-674-9803,579-675-9845,41.332085,-75.954614
88,2264 Frederick Douglas Blvd,,New York,NY,10027,212-222-1414,,40.808079,-73.952706
89,300 Terminal Rd,Ram Cart - Delta Terminal 3,Jamaica,NY,11430,718-553-6455,516-435-1077,40.6525,-73.7931
90,13605 S. Apopka Vineland Rd,,Orlando,FL,32821,407-238-7800,630-604-0521,28.367397,-81.502576
91,482 Tarrytown Rd,,White Plains,NY,10607,914-948-3639,914-948-3634,41.043272,-73.800834
92,300 Termial C,Jet Blue,East Boston,MA,02128,267-767-5884,800-813-1617,42.367012,-71.017627
93,8 Bennett Mills Rd,,Jackson,NJ,08527,732-928-8235,732-928-8236,40.112128,-74.342449
94,14632 S. W. 8th Street,,Miami,FL,33186,305-234-5678,,25.6588,-80.4059
95,1158 Baltimore Pike,,Springfield,PA,19064,610-543-1352,610-543-1353,39.913777,-75.346712
96,100-05 Queens Blvd,,Forest Hills,NY,11375,718-793-3690,718-793-3690,40.72681,-73.853844
97,31 Liberty St,,Little Ferry,NJ,07643,201-814-1005,201-814-1005,40.844186,-74.042412
98,1238 Birch St,,Camp Lejeune,NC,28547,910-451-2599,,34.6714,-77.33395
99,1 Elbow Ln,Silo Mall,Burlington,NJ,08016,609-387-4700,609-784-0911,40.038,-74.829809
100,150 West Terminal Dr - Term 1C,FLL Airport Terminal1C,Fort Lauderdale,FL,33315,561-542-6337,,26.072282,-80.143895
101,100 West Terminal Dr - Term1B,FLL Airport Term 1B,Fort Lauderdale,FL,33315,,,26.072274,-80.143181
102,1482 Buffalo Rd,,Westgate,NY,14624,585-235-5120,,43.149865,-77.69144
103,278 Main Street,,Buzzards Bay,MA,02532,508-743-0421,,41.750118,-70.601882
104,2000 Bergenline Ave,,Union City,NJ,07087,201-330-1616,201-330-1616,40.76482,-74.034299
105,12550 49th St,Hess,Clearwater,FL,33762,617-312-7975,,27.885931,-82.700425
106,363 E. Falmouth Hwy,,East Falmouth,MA,02536,508-495-0164,,41.578652,-70.560549
107,33600 US 19 North,Hess,Palm Harbor,FL,34684,,,28.077124,-82.739198
108,5643 Ridge Ave,,Philadelphia,PA,19128,215-482-0535,215-482-0515,40.026333,-75.209086
109,1412 State Route 9,Xtramart,Lake George,NY,12845,518-793-7512,,43.36355,-73.700587
110,12561 Biscayne Blvd,,Miami,FL,33181,305-891-1020,305-891-1029,25.89221,-80.162808
111,7011 West Newberry Road,,Gainesville,FL,32608,352-332-1795,352-332-7233,29.659581,-82.414314
112,807 E. Main St,,Mount Joy,PA,17552,717-653-5605,717-653-5605,40.109311,-76.484876
113,10 Wall St,,Burlington,MA,01803,781-564-9974,781-564-9976,42.485887,-71.189528
114,738 Middletown Rd,,Colchester,CT,06415,860-267-0824,,41.545274,-72.414725
115,5931 S. Kedzie Ave,,Chicago,IL,60629,773-776-5900,773-776-5860,41.785678,-87.703323
116,1532 Crescent Rd,,Clifton Park,NY,12065,518-373-2900,518-373-2990,42.818943,-73.774891
117,4245 N. Milwaukee Ave,,Chicago,IL,60630,773-427-4245,773-427-6414,41.95806,-87.752232
118,560 N. Pine Island Rd,,Plantation,FL,33324,954-358-5700,954-358-5700,26.129161,-80.26336
119,299 Main St,Shaws,Nashua,NH,03060,603-578-1382,603-595-8045,42.753024,-71.461757
120,14631 Lee Hwy,,Centreville,VA,20121,703-815-4020,703-830-8215,38.835467,-77.453628
121,3545 Youngstown Rd SE,,Warren,OH,44484,330-369-1459,330-369-1459,41.21911,-80.778043
122,2175 S. Queen St,,York,PA,17402,717-741-0088,717-741-0088,39.930186,-76.687321
123,215-22 73rd Ave,(Bell Blvd Oakland Gardens),Bayside,NY,11364,718-217-1588,718-217-1599,40.740596,-73.759009
124,334 Sicklerville Rd,,Sicklerville,NJ,08081,856-728-5200,856-728-5201,39.715136,-74.966364
125,1600 John F Kennedy Blvd,Space #139,Philadelphia,PA,19103,215-751-1073,215-751-1073,39.953801,-75.166568
126,1020 Commonwealth Ave,,Boston,MA,02215,617-739-0812,,42.351731,-71.121616
127,1775 Main St,,Brockton,MA,02301,508-559-0435,,42.050277,-71.011221
128,508 White Horse Pike,,Egg Harbor City,NJ,08215,609-804-9500,856-874-1827,39.52928,-74.648287
129,550 Russells Mills Road,,South Dartmouth,MA,02748,774-628-0005,,41.596842,-70.980153
130,5194 W Taft Rd,,North Syracuse,NY,13212,315-701-0140,315-701-0141,43.122046,-76.157104
131,5663 Jonesboro Rd,,Lake City,GA,30260,770-961-4701,770-961-4601,33.600529,-84.339377
132,3983 Old Post Rd,,Charlestown,RI,02813,401-364-0035,,41.38771,-71.624059
133,36-38 Lowell Street,,Salem,NH,03079,603-890-9130,,42.765339,-71.240233
134,2055 Fairport Nine Mile Point,,Penfield,NY,14526,585-421-8014,585-421-8009,43.13325,-77.44155
135,480 West Housatonic St,,Pittsfield,MA,01201,413-499-9288,,42.442442,-73.277246
136,378 Passiac Ave,,Fairfield,NJ,07004,973-276-7966,973-276-7968,40.887498,-74.27294
137,8753 S. Stony Island Ave,,Chicago,IL,60617,773-375-2426,,41.735663,-87.585183
138,1427 Linden Blvd,,Brooklyn,NY,11212,718-385-6338,,40.65488,-73.907024
139,456 Main Street,,Leominster,MA,01453,978-514-9889,,42.53682,-71.745508
140,1994 Route 9,,Howell,NJ,07731,732-863-6868,,40.185446,-74.249561
141,44 Dodge St,,Beverly,MA,01915,978-232-1106,,42.576497,-70.891313
142,216 Rt 35 South,,Point Pleasant,NJ,08742,732-701-9990,732-701-9991,40.098483,-74.050369
143,3011 Plainfield Rd,,Joliet,IL,60432,815-609-5870,815-609-5874,41.578776,-88.160639
144,1607 Balltown Rd/Rte 146,,Rexford,NY,12148,518-384-3490,,42.816841,-73.892522
145,12 Mill St,,Unionville,CT,06085,860-404-0458,,41.756742,-72.887157
146,11725 Bustleton Ave.,,Philadelphia,PA,19106,856-772-9497,856-429-9134,40.119219,-75.01782
147,40 Jackson St,,Methuen,MA,01844,978-688-5552,,42.724007,-71.159718
148,180 West Service Rd,,Staten Island,NY,10314,718-494-2528,908-668-14,40.588942,-74.193833
149,27470 Van Dyke Ave,,Warren,MI,48093,586-755-5151,,42.495545,-83.02789
150,7039 W Dempster St,,Niles,IL,60714,847-965-9696,847-965-9669,42.040846,-87.801852
151,1829 E Allegheny Ave,,Philadelphia,PA,19134,215-634-3336,215-493-8236,39.996114,-75.113024
152,2701 N. Broad St,,Philadelphia,PA,19132,215-229-2598,215-229-2598,39.993984,-75.154532
153,688 Alberta Dr,Boulevard Mall # 1007,Amherst,NY,14226,,,42.988733,-78.817212
154,9183 Central Hwy,,Capitol Heights,MD,20743,301-324-3078,410-695-2225,38.890863,-76.851536
155,14 Beaverson Blvd,,Brick,NJ,08723,732-477-5889,732-927-5258,40.032434,-74.145366
156,4891 Transit Rd,,Depew,NY,14043,716-668-6200,,42.876384,-78.696978
157,3960 W. Irving Park Rd,,Chicago,IL,60618,312-226-8800,,41.953654,-87.726802
158,3521 Country Club Rd,,Endwell,NY,13760,607-785-2720,607-785-2720,42.116204,-76.019078
159,5461 SE Maricamp Rd,,Ocala,FL,34480,352-624-4020,,29.141538,-82.059384
160,16804 Jamaica Ave,,Jamaica,NY,11432,718-526-3376,718-526-3377,40.70643,-73.792433
161,174 Village Center Dr,,Lusby,MD,20657,410-326-9196,410-326-9197,38.373078,-76.438062
162,110 W. Roosevelt Rd,,West Chicago,IL,60185,630-876-8560,630-876-8563,41.865792,-88.205917
163,2155 Eggert Rd,,Amherst,NY,14226,716-862-3855,716-862-3856,42.979541,-78.822551
164,979 Main St,,Stamford,CT,06902,203-348-3101,203-325-0297,41.048735,-73.561024
165,106 N. Ridge Rd,,Minooka,IL,60447,815-521-2911,815-521-2921,41.455146,-88.271321
167,470 Lewis Ave,Westfield Mall,Meriden,CT,06451,203-634-3235,,41.55039,-72.803637
168,1075 Portion Rd,,Farmingville,NY,11738,631-698-1807,631-451-7367,40.835135,-73.063404
169,765 W. Boylston St,,Worcester,MA,01606,508-595-9027,,42.319343,-71.795546
170,7235 N. Caldwell,,Niles,IL,60714,847-647-9474,847-647-2058,42.012997,-87.789572
171,100 Crossings Blvd,Wal*Mart,Elverson,PA,19520,610-286-1090,610-286-1094,40.15625,-75.866999
172,1 Central Square,,Lynn,MA,01901,781-598-1515,,42.46378,-70.943709
173,100 1st Ave,,New York,NY,10009,212-420-7030,,40.726414,-73.986166
174,2344 Flatbush Ave,,Brooklyn,NY,11234,718-338-0530,718-238-9753,40.612524,-73.925697
175,90 Washington St,,Somerville,MA,02143,617-666-5085,,42.381549,-71.084811
176,16 Washington St,,Foxborough,MA,02035,508-543-0295,,42.102975,-71.257324
177,580 Mandalay Ave,,Clearwater,FL,33767,,,27.984474,-82.826602
178,1855 S.Signal Butte Rd,,Mesa,AZ,85209,480-357-9154,,33.381635,-111.600534
179,JFK Int'l Terminal 5 FC,Post Food Court In Line,Jamaica,NY,11430,,,40.6525,-73.7931
180,4125 S. Eastern Ave,Flamingo Eastern Plaza,Las Vegas,NV,89119,702-732-4336,,36.114154,-115.119192
181,4120 Mendon Rd,,Cumberland,RI,02864,401-658-1912,,41.985462,-71.47906
182,608 S. Hewitt Rd,,Ypsilanti,MI,48197,734-434-9380,734-434-9831,42.230531,-83.644105
183,11425 W. Hillsborough Ave,,Tampa,FL,33635,813-814-2989,,28.013941,-82.613535
184,1805 Old Concord Rd,Route 202/9,Henniker,NH,03242,603-428-3070,,43.17725,-71.75915
185,2661 Broadway,,New York,NY,10025,212-280-2221,,40.797954,-73.96951
186,9629 White Settlement Rd,,Fort Worth,TX,76108,817-367-6500,817-367-6504,32.761384,-97.482518
187,12175 Greenville Hwy,,Lyman,SC,29365,864-439-7449,864-439-7450,34.955605,-82.129036
188,712 E. 233rd St,,Bronx,NY,10466,718-798-0380,718-798-0380,40.893261,-73.856915
189,278 South Main St,,Doylestown,PA,18901,215-230-7230,215-722-2131,40.304251,-75.12886
190,337 W. Wendover Ave,,Greensboro,NC,27408,336-332-0987,,36.088128,-79.793253
191,19129 Preston Rd,Suite 100,Dallas,TX,75252,972-930-7970,,33.008648,-96.795577
192,930 Chapel St,,New Haven,CT,06510,203-752-0299,,41.306611,-72.927069
193,4030 Chestnut St,,Emmaus,PA,18049,610-966-4160,610-966-4160,40.520367,-75.520379
194,247 E. Irving Park Rd,,Roselle,IL,60172,630-893-6150,630-678-1187,41.983764,-88.074791
