"antioch","5009 Lone Tree Way",,"Antioch","CA","94531-8690","925-757-7804",37.961905,-121.761631
"antioch","5009 Lone Tree Way",,"Antioch","CA","94531-8690","925-757-7804",37.961905,-121.761631
"hayward","26003 Eden Landing Rd",,"Hayward","CA","94545-3730","510-782-1038",37.626503,-122.121911
"mission viejo","26861 Trabuco Rd, Unit G",,"Mission Viejo","CA","92691-3537","949-830-cafe ( 2233)",33.621055,-117.659958
"walnut creek","1632 N Main St",,"Walnut Creek","CA","94596-4609","925-939-cups (2877)",37.901088,-122.061385
"georgia state university - atlanta","100 Decatur St SE",,"Atlanta","GA","30303-3202","404-524-2232",33.752390,-84.386546
"henderson","72 W Horizon Ridge Pky, #155henderson",,"Henderson","NV","89012-5306","702-558-1838",36.011892,-114.992568
"las vegas","",,"Las Vegas","NV","","desert bloom",36.171848,-115.139748
"north las vegas","",,"Las Vegas","NV","","north las vegas, nv 89032 702-438-4800",36.191990,-115.087662
"albuquerque","8810 Holly Ave NE",,"Albuquerque","NM","87122-2980","505-828-3757",35.175554,-106.545672
"centerville","",,"Norborne","MO","","centerville oh 45440 937-291-2500",39.466626,-93.709069
"strongsville","14993 Pearl Rd",,"Strongsville","OH","44136","drive-thru location14993 pearl road strongsville, oh 44136",41.306522,-81.834999
"abington","1140 Old York Rd",,"Abington","PA","19001-3710","215-884-0334",40.115963,-75.121153
"comcast center","1701 John F Kennedy Blvd",,"Philadelphia","PA","19103-2833","215-496-9652",39.954066,-75.168341
"doylestown","22 N Main St",,"Doylestown","PA","18901-4315","215-345-0795",40.310467,-75.130775
"haverford","346 Lancaster Ave",,"Haverford","PA","19041-1309","484-416-3781",40.013414,-75.302319
"kennett square","811 E Baltimore Pike",,"Kennett Square","PA","19348-1863","484-732-8069",39.860297,-75.686729
"lansdale","401 S Broad St",,"Lansdale","PA","19446-3703","267-436-3140",40.236601,-75.288548
"manayunk","4311 Main St",,"Manayunk","PA","19127-1504","215-487-3927",40.025109,-75.222457
"pennsylvania 30th street station-kiosk & cafe","2951 Market St",,"Philadelphia","PA","19104-2814","215-382-2550",39.954747,-75.182348
"philadelphia airport terminal b/c","",,"Philadelphia","PA","","philadelphia, pa 215-937-0467",39.952251,-75.162369
"wayne","110 E Lancaster Ave",,"Wayne","PA","19087-4103","610-964-7895",40.043908,-75.387396
"georgia state university - atlanta","100 Decatur St SE",,"Atlanta","GA","30303","04-524-2232",33.752468,-84.386505
"farmers branch","13605 Midway Rd, #180",,"Farmers Branch","TX","75244-4304","972-239-3005",32.933279,-96.839194
"mckinney","2741 Virginia Pky, Ste 100",,"McKinney","TX","75071-4917","214-585-0511",33.198628,-96.651518
"murphy","Murthy Street",,"Chennai 601","India","","murphy, texas 75094",13.121129,80.229233
"fairfax","10637 Braddock Rd",,"Fairfax","VA","22032-2202","703-278-5400",38.826137,-77.313856
"monroe towers","520 W Franklin St, Unit A",,"Richmond","VA","23220-4902","va 23220",37.546733,-77.447967
"georgetown","3500 O St NW",,"Washington","DC","20007-2613","202-338-3777",38.907658,-77.069185
"dupont circle","1309 19th St NW",,"Washington","DC","20036-1605","202-223-9590",38.907444,-77.043252
"vermont avenue","1000 Vermont Ave NW, #105",,"Washington","DC","20005-4901","202-898-0233",38.902773,-77.033764
